"E_div_numb","Elect_div","Numccds","Actual","Projected","Total_Popu","Australian","Area_SqKm","Sortname","DIV_NUMBER","ELECT_DIV","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME","GEODB_OID","OBJECTID","MAP_SYMBOL","MAP_TYPE","LENGTH","SHAPE_AREA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Moreton",237,0,0,0,0,110.87129065063,"MORETON",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Oxley",193,0,0,0,0,155.34901227503,"OXLEY",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Petrie",198,0,0,0,0,152.01873249258,"PETRIE",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Rankin",225,0,0,0,0,131.15020295877,"RANKIN",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Ryan",244,0,0,0,0,440.95571200184,"RYAN",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"Wide Bay",310,0,0,0,0,14572.61554299,"WIDE BAY",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"Wright",250,0,0,0,0,7589.0995594075,"Wright",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Adelaide",318,0,0,0,0,76.0074,"Adelaide",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Barker",343,0,0,0,0,63885.71,"Barker",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Boothby",281,0,0,0,0,129.682,"Boothby",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Grey",429,0,0,0,0,904881.23,"Grey",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Hindmarsh",322,0,0,0,0,77.5908,"Hindmarsh",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Kingston",229,0,0,0,0,170.572,"Kingston",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Makin",232,0,0,0,0,130.08,"Makin",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Mayo",276,0,0,0,0,9314.65,"Mayo",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Port Adelaide",299,0,0,0,0,180.645,"Port Adelaide",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Sturt",255,0,0,0,0,85.3432,"Sturt",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Wakefield",277,0,0,0,0,6407.12,"Wakefield",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Aston",190,92370,98469,0,0,98.9337,"Aston",1,1,"Final Divisional Boundary","Metro",58422.8882470537,99056594.138408
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Ballarat",274,95003,100786,0,0,4651.64,"Ballarat",2,2,"Final Divisional Boundary","Rural",417555.118037431,4652896627.26797
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Batman",265,96909,104258,0,0,65.6887,"Batman",3,3,"Final Divisional Boundary","Metro",58226.0198105756,65717034.7357749
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Bendigo",284,95729,102582,0,0,6255,"Bendigo",4,4,"Final Divisional Boundary","Rural",622901.956949258,6255411672.01925
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Bruce",226,95472,99904,0,0,72.69,"Bruce",5,5,"Final Divisional Boundary","Metro",48696.3828336784,72629548.1388826
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Calwell",214,99031,104734,0,0,174.713,"Calwell",6,6,"Final Divisional Boundary","Metro",81925.6070002731,174767685.048013
NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Casey",236,93226,98055,0,0,2337.34,"Casey",7,7,"Final Divisional Boundary","Rural",345159.605997654,2337420651.68421
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Chisholm",245,93839,100024,0,0,64.9781,"Chisholm",8,8,"Final Divisional Boundary","Metro",42847.6136789938,65030838.9406715
NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Corangamite",264,92749,99931,0,0,7624.91,"Corangamite",9,9,"Final Divisional Boundary","Rural",688014.274720648,7630431063.98477
