"","StateAb","DivisionID","DivisionNm","PollingPlaceID","PollingPlace","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","OrdinaryVotes","Swing"
"90","ACT",101,"Canberra",11878,"Theodore",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",833,-2.25
"91","ACT",101,"Canberra",32704,"Tuggeranong CANBERRA PPVC",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",6341,2.59
"92","ACT",101,"Canberra",32704,"Tuggeranong CANBERRA PPVC",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",7534,-2.59
"93","ACT",101,"Canberra",8790,"Wanniassa",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",736,-0.62
"94","ACT",101,"Canberra",8790,"Wanniassa",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1220,0.62
"95","ACT",101,"Canberra",8791,"Wanniassa Hills",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",803,2.29
"96","ACT",101,"Canberra",8791,"Wanniassa Hills",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1230,-2.29
"97","ACT",101,"Canberra",8792,"Waramanga",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",885,2.19
"98","ACT",101,"Canberra",8792,"Waramanga",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1396,-2.19
"99","ACT",101,"Canberra",8793,"Weston",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",500,0.21
"100","ACT",101,"Canberra",8793,"Weston",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",851,-0.21
"101","ACT",101,"Canberra",32705,"Woden CANBERRA PPVC",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",5637,2.85
"102","ACT",101,"Canberra",32705,"Woden CANBERRA PPVC",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",6704,-2.85
"103","ACT",101,"Canberra",8840,"Yarralumla",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",668,3.07
"104","ACT",101,"Canberra",8840,"Yarralumla",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",817,-3.07
"105","ACT",102,"Fraser",8801,"Ainslie North",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",482,-0.73
"106","ACT",102,"Fraser",8801,"Ainslie North",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1627,0.73
"107","ACT",102,"Fraser",8804,"Ainslie South",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",144,2.75
"108","ACT",102,"Fraser",8804,"Ainslie South",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",408,-2.75
"109","ACT",102,"Fraser",38197,"Amaroo",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",1015,1.23
"110","ACT",102,"Fraser",38197,"Amaroo",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1218,-1.23
"111","ACT",102,"Fraser",8803,"Aranda",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",605,0.22
"112","ACT",102,"Fraser",8803,"Aranda",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1622,-0.22
"113","ACT",102,"Fraser",8805,"Belconnen",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",751,-2.28
"114","ACT",102,"Fraser",8805,"Belconnen",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1567,2.28
"115","ACT",102,"Fraser",32464,"Belconnen FRASER PPVC",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",6033,1.05
"116","ACT",102,"Fraser",32464,"Belconnen FRASER PPVC",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",9148,-1.05
"117","ACT",102,"Fraser",65505,"BLV Fraser PPVC",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",14,36.84
"118","ACT",102,"Fraser",65505,"BLV Fraser PPVC",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",24,63.16
"119","ACT",102,"Fraser",65695,"Bonner",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",464,3.78
"120","ACT",102,"Fraser",65695,"Bonner",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",711,-3.78
"121","ACT",102,"Fraser",8802,"Braddon",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",448,-0.34
"122","ACT",102,"Fraser",8802,"Braddon",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1201,0.34
"123","ACT",102,"Fraser",12073,"Bruce",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",294,0.17
"124","ACT",102,"Fraser",12073,"Bruce",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",458,-0.17
